Node Number;X Location (m);Y Location (m);Z Location (m)
179;-0.5;-2.5907;-10.861
180;-0.5;-2.5907;-10.685
181;-0.5;-2.4935;-10.773
182;-0.59759;-2.5907;-10.754
183;-0.5;-2.5233;-10.983
184;-0.5;-2.5907;-11.217
185;-0.59846;-2.5907;-10.968
186;-0.5;-2.417;-10.509
187;-0.5;-2.3527;-10.594
188;-0.59723;-2.3752;-10.543
189;-0.5;-2.5301;-10.556
190;-0.5;-2.5181;-10.508
191;-0.59716;-2.4696;-10.496
192;-0.5;-2.5827;-10.573
193;-0.5;-2.473;-10.632
194;-0.59702;-2.5907;-10.616
195;-0.59708;-2.5597;-10.535
196;-0.5;-2.3758;-10.72
197;-0.59731;-2.3554;-10.649
198;-0.5;-2.4261;-10.895
199;-0.59786;-2.3962;-10.791
200;-0.5;-2.5233;-11.232
201;-0.59866;-2.4559;-10.998
202;-0.60048;-2.5907;-11.466
315;-1.4034;-2.4559;-10.998
316;-1.5057;-2.4261;-10.895
317;-1.6024;-2.4559;-10.998
318;-1.5029;-2.5233;-11.232
319;-1.2022;-2.4559;-10.998
320;-1.302;-2.4261;-10.895
321;-1.302;-2.5233;-11.232
322;-1.0026;-2.4559;-10.998
323;-1.1022;-2.4261;-10.895
324;-1.1026;-2.5233;-11.232
325;-0.80008;-2.4559;-10.998
326;-0.90303;-2.4261;-10.895
327;-0.90238;-2.5233;-11.232
328;-0.69652;-2.4261;-10.895
329;-0.69915;-2.5233;-11.232
330;-1.4043;-2.3962;-10.791
331;-1.6033;-2.3962;-10.791
332;-1.5072;-2.3758;-10.72
333;-1.2021;-2.3962;-10.791
334;-1.302;-2.3758;-10.72
335;-1.0027;-2.3962;-10.791
336;-1.102;-2.3758;-10.72
337;-0.79948;-2.3962;-10.791
338;-0.90337;-2.3758;-10.72
339;-0.69517;-2.3758;-10.72
340;-1.7;-2.4261;-10.895
341;-1.7;-2.5233;-11.232
342;-1.7;-2.5233;-10.983
343;-1.7;-2.3758;-10.72
344;-1.7;-2.4935;-10.773
