Node Number;X Location (m);Y Location (m);Z Location (m)
490;3.7641;-0.55649;5.9063
491;3.777;0.46113;5.4709
492;3.7296;0.75384;5.832
493;3.805;-2.31E-15;7.0741
494;3.7869;-0.37042;6.8852
495;3.7641;-0.55649;6.3779
496;3.777;0.46113;6.8857
497;3.7296;0.75384;6.3036
498;3.805;-2.62E-15;8.0173
499;3.7869;-0.37042;7.3569
500;3.7641;-0.55649;7.7927
501;3.777;0.46113;7.3573
502;3.805;-2.93E-15;8.9605
503;3.7926;-0.30697;8.8221
504;3.7641;-0.55649;8.2643
505;3.777;0.46113;7.8289
506;3.7795;0.43942;8.7247
507;3.73;0.75196;8.129
508;3.805;-3.23E-15;9.9038
509;3.7926;-0.30697;9.2937
510;3.76;-0.58357;9.7451
511;3.7795;0.43942;9.1963
512;3.7206;0.79708;9.57
513;3.805;-3.54E-15;10.847
514;3.7924;-0.30899;10.702
515;3.76;-0.58357;10.217
516;3.767;0.53649;10.721
517;3.7206;0.79708;10.042
518;3.805;-3.85E-15;11.79
519;3.7924;-0.30899;11.174
520;3.7584;-0.59363;11.485
521;3.767;0.53649;11.193
522;3.7724;0.49665;12.733
523;3.7724;-0.49665;12.733
524;3.7584;-0.59363;11.957
525;3.767;0.53649;11.664
526;3.7047;0.86773;12.265
527;-3.805;4.66E-16;12.733
528;-3.7724;0.49665;13.205
529;-3.7724;-0.49665;13.205
530;-3.7724;6.76E-16;13.702
531;-3.805;4.66E-16;1.4148
532;-3.767;-0.53649;1.2889
533;-3.7064;-0.86047;0.86045
534;-3.7665;0.53991;1.1411
535;-3.805;4.66E-16;2.358
536;-3.767;-0.53649;1.7605
537;-3.7665;0.53991;1.6127
538;-3.7736;0.48819;2.1533
539;-3.805;4.66E-16;3.3012
540;-3.767;-0.53649;2.2321
541;-3.7889;-0.34963;3.0832
542;-3.7815;0.42256;3.1109
543;-3.7736;0.48819;2.6249
544;-3.805;4.66E-16;4.2445
545;-3.7889;-0.34963;3.5549
546;-3.7663;-0.5412;3.9722
547;-3.7815;0.42256;3.5825
548;-3.759;0.58978;4.1902
549;-3.805;4.66E-16;5.1877
550;-3.7907;-0.32974;5.0616
551;-3.7663;-0.5412;4.4438
552;-3.7923;0.31097;5.0476
553;-3.759;0.58978;4.6618
554;-3.805;4.66E-16;6.1309
555;-3.7907;-0.32974;5.5332
556;-3.7638;-0.55864;5.9576
557;-3.7923;0.31097;5.5192
558;-3.7641;0.55649;5.9063
559;-3.805;4.66E-16;7.0741
560;-3.7897;-0.34041;6.9577
561;-3.7638;-0.55864;6.4292
562;-3.7869;0.37042;6.8852
563;-3.7641;0.55649;6.3779
564;-3.805;4.66E-16;8.0173
565;-3.7897;-0.34041;7.4293
566;-3.7638;-0.55819;7.8436
567;-3.7869;0.37042;7.3569
568;-3.7641;0.55649;7.7927
569;-3.805;4.66E-16;8.9605
570;-3.792;-0.31374;8.8786
571;-3.7638;-0.55819;8.3152
572;-3.7929;0.30344;8.8082
573;-3.7641;0.55649;8.2643
574;-3.805;4.66E-16;9.9037
575;-3.792;-0.31374;9.3502
576;-3.7675;-0.53313;9.7286
577;-3.7929;0.30344;9.2798
578;-3.7653;0.54808;9.5086
579;-3.805;4.66E-16;10.847
580;-3.7689;-0.52325;10.805
581;-3.7675;-0.53313;10.2
582;-3.7635;0.56065;10.764
583;-3.7653;0.54808;9.9802
584;-3.805;4.66E-16;11.79
585;-3.7689;-0.52325;11.277
586;-3.7635;0.56065;11.235
587;-3.7724;0.49665;12.733
588;-3.7724;-0.49665;12.733
589;-3.7689;-0.52325;11.749
590;-3.7635;0.56065;11.707
591;3.5154;1.4561;13.205
592;3.7385;0.50086;13.706
593;3.6024;1.1058;13.732
594;3.5598;1.3439;12.737
595;3.0187;2.3163;13.205
596;3.4229;1.5752;13.734
597;3.0985;2.0792;13.95
598;3.3539;1.797;12.737
599;3.1349;2.1564;12.54
600;2.3163;3.0187;13.205
601;2.4382;2.8522;13.836
602;2.7885;2.4796;13.949
603;2.3988;2.9536;12.837
604;2.8266;2.5472;12.54
605;1.4561;3.5154;13.205
606;1.6749;3.3889;13.639
607;2.045;3.1461;13.836
608;1.9928;3.2414;12.837
609;1.5888;3.4574;12.707
610;0.49665;3.7724;13.205
611;1.212;3.5806;13.639
612;0.37967;3.7346;13.827
613;0.63746;3.7512;12.873
614;1.1239;3.6352;12.707
615;-0.49665;3.7724;13.205
616;-0.12688;3.753;13.819
617;0.14237;3.8023;12.873
618;-0.29726;3.7934;12.667
619;-1.4561;3.5154;13.205
620;-1.212;3.5806;13.639
621;-0.61566;3.7044;13.819
622;-1.3338;3.5636;12.863
623;-0.78985;3.7221;12.667
624;-2.3163;3.0187;13.205
625;-1.6749;3.3889;13.639
626;-2.4684;2.8063;13.919
627;-1.7876;3.359;12.863
628;-2.1635;3.1301;12.602
629;-3.0187;2.3163;13.205
630;-2.8259;2.4494;13.907
631;-3.013;2.3237;12.754
632;-2.5535;2.8209;12.602
633;-3.5154;1.4561;13.205
634;-3.1268;2.0522;13.905
635;-3.2905;1.9106;12.754
636;-3.7385;0.50086;13.706
637;-3.5131;0.97556;14.293
638;-3.3759;1.6045;13.917
639;-3.6581;1.0471;12.179
640;-3.5118;1.4647;12.754
641;-3.5154;-1.4561;13.205
642;-3.7385;-0.50086;13.706
643;-3.5608;-1.2514;13.688
644;-3.6683;-1.0107;12.22
645;-3.5219;-1.4403;12.78
646;-3.0187;-2.3163;13.205
647;-2.9802;-2.3225;13.655
648;-3.367;-1.7055;13.688
649;-3.3038;-1.8876;12.78
650;-2.3163;-3.0187;13.205
651;-2.6515;-2.6916;13.655
652;-3.0291;-2.3027;12.78
653;-2.4655;-2.8982;12.812
654;-1.4561;-3.5154;13.205
655;-2.2775;-3.0147;13.655
656;-1.7227;-3.339;13.806
657;-2.0661;-3.1952;12.812
658;-0.49665;-3.7724;13.205
659;-0.74067;-3.7069;13.639
660;-1.2678;-3.537;13.805
661;-1.6314;-3.4375;12.812
662;-0.68383;-3.743;12.728
663;0.49665;-3.7724;13.205
664;-0.244;-3.7723;13.639
665;0.63828;-3.6836;13.913
666;-0.18941;-3.8003;12.728
667;1.4561;-3.5154;13.205
668;1.135;-3.5641;13.903
669;0.30824;-3.7925;12.728
670;1.2231;-3.6031;12.764
671;2.3163;-3.0187;13.205
672;2.0303;-3.2003;13.543
673;1.5998;-3.3806;13.905
674;1.6829;-3.4126;12.764
675;1.9536;-3.2652;12.282
676;3.0187;-2.3163;13.205
677;3.0535;-2.2207;13.677
678;2.4307;-2.9079;13.543
679;2.6843;-2.5736;14.011
680;2.8925;-2.4722;12.7
681;2.3631;-2.9823;12.282
682;3.5154;-1.4561;13.205
683;3.3221;-1.7956;13.671
684;3.1904;-2.0735;12.7
685;3.4767;-1.5462;12.428
686;3.7385;-0.50086;13.706
687;3.5281;-1.3466;13.671
688;3.6488;-1.0791;12.428
689;-0.49665;8.90E-17;16.977
690;0.49665;-8.01E-16;16.977
691;-0.244;0.43364;16.977
692;0.69897;0.50381;16.911
693;-0.244;-0.43364;16.977
694;4.84E-02;-0.77751;16.929
695;-1.4561;2.61E-16;16.72
696;-0.74067;0.43364;16.912
697;-1.2924;0.59664;16.734
698;-0.74067;-0.43364;16.912
699;-1.1509;-0.62395;16.778
700;-2.3163;4.15E-16;16.224
701;-2.2065;0.55865;16.254
702;-1.7474;0.60998;16.53
703;-2.0027;-0.52799;16.397
704;-1.6026;-0.66669;16.591
705;-3.0187;5.41E-16;15.521
706;-2.9088;0.4306;15.62
