Node Number;X Location (m);Y Location (m);Z Location (m)
549;-26.969;1.314;10.
550;-29.731;0.40111;10.
551;-28.669;0.88321;9.5
552;-21.482;20.941;10.
553;-24.471;17.353;9.5
554;-13.824;26.625;10.
555;-17.819;24.135;9.5
556;-0.47687;29.619;10.
557;-0.93797;28.496;9.5
558;0.47687;29.619;10.
559;-1.03E-02;3.;9.5
560;13.824;26.625;10.
561;0.93797;28.496;9.5
562;21.482;20.941;10.
563;17.819;24.135;9.5
564;26.969;1.314;10.
565;24.471;17.353;9.5
566;29.731;0.40111;10.
567;28.669;0.88321;9.5
568;-29.506;-0.54204;10.
569;-26.414;-14.224;10.
570;-28.377;-0.97262;9.5
571;-29.993;-5.74E+01;9.5
572;29.506;-0.54204;10.
573;29.993;-5.74E+01;9.5
574;26.414;-14.224;10.
575;28.377;-0.97262;9.5
576;-14.313;-28.871;10.
577;-0.48507;-30.905;10.
578;-0.95935;-29.795;9.5
579;-20.787;-21.911;10.
580;-18.084;-25.516;9.5
581;-24.037;-17.944;9.5
582;2.079;-21.906;10.
583;24.037;-17.944;9.5
584;14.313;-28.871;10.
585;18.084;-25.516;9.5
586;0.48506;-30.905;10.
587;0.95935;-29.795;9.5
588;5.31E-04;-30.862;9.5
589;26.746;-13.589;0.88889
590;28.542;-0.92379;13.333
591;28.535;-0.92597;0.44444
592;29.632;-0.46818;0.88889
593;2.124;-21.186;0.88889
594;24.311;-17.578;13.333
595;24.284;-17.615;0.44444
596;1.364;-2.672;0.88889
597;1.767;-24.244;13.333
598;17.646;-24.262;0.44444
599;0.47006;-29.629;0.88889
600;0.92922;-28.525;13.333
601;0.92777;-28.529;0.44444
602;-0.47006;-29.629;0.88889
603;3.49E-04;-3.;13.333
604;1.16E-04;-3.;0.44444
605;-1.364;-2.672;0.88889
606;-0.92922;-28.525;13.333
607;-0.92777;-28.529;0.44444
608;-2.124;-21.186;0.88889
609;-1.767;-24.244;13.333
610;-17.646;-24.262;0.44444
611;-26.746;-13.589;0.88889
612;-24.311;-17.578;13.333
613;-24.284;-17.615;0.44444
614;-28.542;-0.92379;13.333
615;-28.535;-0.92597;0.44444
616;-29.632;-0.46818;0.88889
617;26.761;-13.559;17.778
618;28.549;-0.92162;22.222
619;29.634;-0.46705;17.778
